year,zone_stat,desc_zone,district,area,n_stops,n_lines,avg_distan,tot,tot_F,tot_M,tot_foreig,n_fam,minors,working_age,seniors,stop_coverage,tot_accidents,tot_vehicles_involves,vehicle_categories,n_public_vehicles,public_accidents
2019,18,Politecnico,1,811126.5995476001,31,128,60.52578616352201,5705,3059,2642,385,2902,853.0,3338.0,1510.0,1.01122553606596,66.0,129.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",4.0,4.0
2019,19,Piazza Nizza,8,494913.89911734,16,46,36.49014675052411,10157,5391,4756,1188,5601,1398.0,6266.0,2483.0,0.14549182775705302,60.0,108.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso']",1.0,1.0
2019,2,Palazzo Reale,1,90507.6733432,4,19,4.8159329140461224,161,66,81,34,100,20.0,104.0,23.0,0.139957264957265,6.0,13.0,"['bicicletta', 'polizia', 'privato_vettura', 'pubblico']",3.0,1.0
2019,20,Corso Dante-Ponte Isabella,8,738153.3700064799,20,40,43.07023060796646,14103,7627,6614,1617,7877,1774.0,8857.0,3610.0,0.156764032873413,61.0,109.0,"['polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",4.0,4.0
2019,21,Gasometro,7,311746.12550516997,9,20,14.40754716981132,2214,1212,1002,515,1251,341.0,1336.0,537.0,0.09403748631494699,12.0,22.0,"['privato_moto', 'privato_vettura']",0.0,0.0
2019,22,Vanchiglietta,7,774358.7278997499,27,75,33.148008385744234,16822,9240,7783,1554,9040,2237.0,10143.0,4643.0,0.09328408642085101,38.0,71.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",1.0,1.0
2019,23,Rossini,7,614350.27920694,15,46,23.90911949685534,5858,3049,2804,583,3218,740.0,3786.0,1327.0,0.20928147048977394,52.0,97.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",3.0,3.0
2019,24,Aurora,7,879762.16718974,29,94,57.04339622641509,19687,9896,10181,7317,9862,3392.0,12985.0,3700.0,0.191967193048888,104.0,203.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",4.0,3.0
2019,25,Ospedale Amedeo di Savoia,4,827693.30605183,12,47,21.524528301886793,11825,6708,6736,2922,6669,2341.0,8794.0,2309.0,0.05365777699916201,73.0,157.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",6.0,6.0
2019,26,Crocetta,1,654036.95298591,18,72,40.74318658280922,12662,6885,5772,1019,6972,1763.0,7481.0,3413.0,0.221774864518575,52.0,102.0,"['', 'altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",1.0,1.0
2019,27,Ospedale Mauriziano,1,354736.64297936996,13,38,27.0811320754717,6049,3253,2796,418,3212,817.0,3531.0,1701.0,0.063550474887654,37.0,73.0,"['privato_moto', 'privato_vettura', 'pubblico', 'soccorso']",3.0,3.0
2019,28,Corso Lepanto,8,403350.53835741,9,22,19.654088050314467,3226,1712,1514,442,1763,436.0,1909.0,881.0,0.06967707228782499,9.0,17.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico']",1.0,1.0
2019,29,Campidoglio,4,916945.0575393301,34,66,68.5549965059399,14667,7864,6783,1917,7719,1993.0,9049.0,3605.0,0.657816861212172,88.0,175.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",2.0,2.0
2019,3,Palazzo Carignano,1,377634.26487573,23,101,36.92159329140462,4147,2127,2005,294,2343,528.0,2606.0,998.0,1.0870805689889067,30.0,51.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",4.0,3.0
2019,30,La Tesoriera,5,1253613.7974759298,25,38,46.3686932215234,14432,7585,6837,2725,7698,1959.0,9116.0,3347.0,0.312564143723401,80.0,169.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",1.0,1.0
2019,31,Boringhieri,3,265342.70475916,6,19,14.709433962264152,4998,2900,2498,477,2970,733.0,3258.0,1407.0,0.024064804682480002,15.0,34.0,"['privato_moto', 'privato_vettura']",0.0,0.0
2019,32,Cenisia,3,734102.95795467,19,29,38.72676450034941,15643,8380,7455,2456,8478,2081.0,10126.0,3628.0,0.065928697857943,70.0,135.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura']",0.0,0.0
2019,33,San Paolo,3,961500.66734361,32,78,64.29025157232704,19880,10389,9636,3129,10955,2463.0,12801.0,4761.0,0.204181917592097,83.0,157.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",4.0,4.0
2019,34,Monginevro,3,460786.00580096,13,28,26.925157232704397,8744,4800,4353,1430,4724,1272.0,5769.0,2112.0,0.049069261053141,33.0,68.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",1.0,1.0
2019,35,Polo Nord,3,1057964.7168134,33,71,59.487141858839976,17495,9228,8260,1617,8964,2521.0,10802.0,4165.0,0.32742614732033803,51.0,103.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",1.0,1.0
2019,36,Cimitero Generale,6,1174236.67096894,7,15,12.550104821802934,907,429,461,213,478,127.0,580.0,183.0,0.451656821528036,28.0,55.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",2.0,2.0
2019,37,Maddalene,6,620197.3237218801,20,45,42.41656184486373,12468,6597,5950,1909,6068,1817.0,7208.0,3522.0,0.294082046908492,44.0,99.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'veicoli_grandi']",0.0,0.0
2019,38,Monterosa,6,841520.39492285,25,68,54.40461215932913,26271,13242,13584,11654,12631,5029.0,17390.0,4407.0,0.12602540321775502,91.0,177.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",5.0,4.0
2019,39,Monte Bianco,6,777655.2511712799,16,35,30.565199161425575,9835,5059,5275,3695,4853,1895.0,6781.0,1658.0,0.158540360410412,51.0,107.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",1.0,1.0
2019,4,Piazza San Carlo,1,444240.0952705301,27,95,33.810272536687634,4236,2169,2042,395,2441,568.0,2749.0,894.0,0.710492612142667,35.0,67.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",7.0,6.0
2019,40,Regio Parco,6,894060.0627702501,24,51,43.75765199161425,8776,4814,4419,1917,4538,1471.0,5514.0,2248.0,0.311573971321047,33.0,73.0,"['polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",1.0,1.0
2019,41,Barriera di Milano,6,949595.33363605,31,68,58.699720475192166,13091,7395,6616,2317,6579,2099.0,8068.0,3844.0,0.505510578766022,115.0,228.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",7.0,5.0
2019,42,Borgata Vittoria,5,558474.3422842,17,67,32.55890985324948,15255,7991,7317,3394,7387,2387.0,9509.0,3412.0,0.058099043789141006,57.0,127.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",3.0,3.0
2019,43,La Fossata,5,1103639.1103476,26,89,56.49336128581412,17068,9481,8681,3515,8796,2794.0,11022.0,4346.0,0.7363987547682029,76.0,159.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",4.0,4.0
2019,44,Officine Savigliano,5,684077.98466234,16,52,21.73459119496855,7207,4178,3913,1852,3756,1408.0,5162.0,1521.0,0.058378088274076,36.0,76.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico']",1.0,1.0
2019,45,Madonna di Campagna,5,694404.54406343,22,60,41.196505939902174,12185,6421,6035,2523,6036,1981.0,7584.0,2891.0,0.182415777075262,49.0,95.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",3.0,3.0
2019,46,Barriera di Lanzo,5,809508.17778656,23,59,46.25618448637316,8930,4585,4370,1719,4234,1409.0,5759.0,1787.0,0.275102239426029,48.0,99.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",3.0,2.0
2019,47,Ceronda-Martinetto,5,828098.02299999,28,43,42.1504891684137,9287,4916,4865,1846,4795,1557.0,6311.0,1913.0,0.20997314059036698,73.0,140.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico']",2.0,2.0
